province,unit_number,unit_description,order,candidate_name,votes,votes_raw,percent,percent_raw
THÀNH PHỐ HÀ NỘI,1,"Gồm các quận: Ba Đình, Đống Đa và Hai Bà Trưng.",1,Ông Nguyễn Phú Trọng,557717,557.717,93.23,"93,23"
THÀNH PHỐ HÀ NỘI,1,"Gồm các quận: Ba Đình, Đống Đa và Hai Bà Trưng.",2,Ông Nguyễn Quốc Duyệt,500418,500.418,83.65,"83,65"
THÀNH PHỐ HÀ NỘI,1,"Gồm các quận: Ba Đình, Đống Đa và Hai Bà Trưng.",3,Ông Nguyễn Trúc Anh,429976,429.976,71.88,"71,88"
THÀNH PHỐ HÀ NỘI,1,"Gồm các quận: Ba Đình, Đống Đa và Hai Bà Trưng.",4,Bà Nguyễn Thị Hà Tuyên,176524,176.524,29.51,"29,51"
THÀNH PHỐ HÀ NỘI,1,"Gồm các quận: Ba Đình, Đống Đa và Hai Bà Trưng.",5,Ông Vũ Tiến Vượng,115794,115.794,19.36,"19,36"
THÀNH PHỐ HÀ NỘI,2,"Gồm các quận: Hoàn Kiếm, Long Biên và huyện Đông Anh.",1,Ông Nguyễn Hữu Chính,508956,508.956,84.54,"84,54"
THÀNH PHỐ HÀ NỘI,2,"Gồm các quận: Hoàn Kiếm, Long Biên và huyện Đông Anh.",2,Bà Bùi Huyền Mai,468665,468.665,77.84,"77,84"
THÀNH PHỐ HÀ NỘI,2,"Gồm các quận: Hoàn Kiếm, Long Biên và huyện Đông Anh.",3,Ông Trương Xuân Cừ,461081,461.081,76.58,"76,58"
THÀNH PHỐ HÀ NỘI,2,"Gồm các quận: Hoàn Kiếm, Long Biên và huyện Đông Anh.",4,Bà Ngô Thị Lục,198376,198.376,32.95,"32,95"
THÀNH PHỐ HÀ NỘI,2,"Gồm các quận: Hoàn Kiếm, Long Biên và huyện Đông Anh.",5,Bà Lê Thị Hồng Nhung,156285,156.285,25.96,"25,96"
THÀNH PHỐ HÀ NỘI,3,"Gồm các quận: Cầu Giấy, Nam Từ Liêm và Thanh Xuân.",1,Ông Nguyễn Phi Thường,396353,396.353,82.86,"82,86"
THÀNH PHỐ HÀ NỘI,3,"Gồm các quận: Cầu Giấy, Nam Từ Liêm và Thanh Xuân.",2,Ông Nguyễn Ngọc Tuấn,391195,391.195,81.78,"81,78"
THÀNH PHỐ HÀ NỘI,3,"Gồm các quận: Cầu Giấy, Nam Từ Liêm và Thanh Xuân.",3,Bà Dương Minh Ánh,356648,356.648,74.56,"74,56"
THÀNH PHỐ HÀ NỘI,3,"Gồm các quận: Cầu Giấy, Nam Từ Liêm và Thanh Xuân.",4,Bà Phạm Thị Ngọc Yến,142665,142.665,29.83,"29,83"
THÀNH PHỐ HÀ NỘI,3,"Gồm các quận: Cầu Giấy, Nam Từ Liêm và Thanh Xuân.",5,Bà Đặng Thị Kim Tuyến,132190,132.190,27.64,"27,64"
THÀNH PHỐ HÀ NỘI,4,Gồm quận Hoàng Mai và huyện Gia Lâm.,1,Ông Đinh Tiến Dũng,441431,441.431,91.25,"91,25"
THÀNH PHỐ HÀ NỘI,4,Gồm quận Hoàng Mai và huyện Gia Lâm.,2,Ông Đặng Minh Châu (Hòa thượng Thích Bảo Nghiêm),386843,386.843,79.97,"79,97"
THÀNH PHỐ HÀ NỘI,4,Gồm quận Hoàng Mai và huyện Gia Lâm.,3,Bà Vũ Thị Lưu Mai,379556,379.556,78.46,"78,46"
THÀNH PHỐ HÀ NỘI,4,Gồm quận Hoàng Mai và huyện Gia Lâm.,4,Ông Lưu Hồng Quang,121633,121.633,25.14,"25,14"
THÀNH PHỐ HÀ NỘI,4,Gồm quận Hoàng Mai và huyện Gia Lâm.,5,Bà Nguyễn Thị Phương Thúy,88650,88.650,18.33,"18,33"
THÀNH PHỐ HÀ NỘI,5,"Gồm các quận: Tây Hồ, Bắc Từ Liêm và huyện Hoài Đức.",1,Ông Vũ Tiến Lộc,347089,347.089,75.31,"75,31"
THÀNH PHỐ HÀ NỘI,5,"Gồm các quận: Tây Hồ, Bắc Từ Liêm và huyện Hoài Đức.",2,Ông Bùi Hoài Sơn,338869,338.869,73.53,"73,53"
THÀNH PHỐ HÀ NỘI,5,"Gồm các quận: Tây Hồ, Bắc Từ Liêm và huyện Hoài Đức.",3,Ông Nguyễn Hải Trung,337123,337.123,73.15,"73,15"
THÀNH PHỐ HÀ NỘI,5,"Gồm các quận: Tây Hồ, Bắc Từ Liêm và huyện Hoài Đức.",4,Bà Vũ Thúy Hiền,220908,220.908,47.93,"47,93"
THÀNH PHỐ HÀ NỘI,5,"Gồm các quận: Tây Hồ, Bắc Từ Liêm và huyện Hoài Đức.",5,Bà Nguyễn Ngọc Yên,127696,127.696,27.71,"27,71"
THÀNH PHỐ HÀ NỘI,6,"Gồm quận Hà Đông và các huyện: Thanh Trì, Thanh Oai.",1,Ông Đỗ Đức Hồng Hà,485094,485.094,84.57,"84,57"
THÀNH PHỐ HÀ NỘI,6,"Gồm quận Hà Đông và các huyện: Thanh Trì, Thanh Oai.",2,Ông Nguyễn Kim Sơn,461473,461.473,80.46,"80,46"
THÀNH PHỐ HÀ NỘI,6,"Gồm quận Hà Đông và các huyện: Thanh Trì, Thanh Oai.",3,Ông Phạm Đức Ấn,447106,447.106,77.95,"77,95"
THÀNH PHỐ HÀ NỘI,6,"Gồm quận Hà Đông và các huyện: Thanh Trì, Thanh Oai.",4,Bà Lê Thị Thu Trang,171009,171.009,29.81,"29,81"
